FID	IID
CAMBRIDGE-BELIEVE_310049147_310049147	CAMBRIDGE-BELIEVE_310049147_310049147
CAMBRIDGE-BELIEVE_310049166_310049166	CAMBRIDGE-BELIEVE_310049166_310049166
CAMBRIDGE-BELIEVE_310050319_310050319	CAMBRIDGE-BELIEVE_310050319_310050319
CAMBRIDGE-BELIEVE_310050566_310050566	CAMBRIDGE-BELIEVE_310050566_310050566
CAMBRIDGE-BELIEVE_310050618_310050618	CAMBRIDGE-BELIEVE_310050618_310050618
CAMBRIDGE-BELIEVE_310050620_310050620	CAMBRIDGE-BELIEVE_310050620_310050620
CAMBRIDGE-BELIEVE_310060770_310060770	CAMBRIDGE-BELIEVE_310060770_310060770
CAMBRIDGE-BELIEVE_310060941_310060941	CAMBRIDGE-BELIEVE_310060941_310060941
CAMBRIDGE-BELIEVE_310060991_310060991	CAMBRIDGE-BELIEVE_310060991_310060991
CAMBRIDGE-BELIEVE_310061118_310061118	CAMBRIDGE-BELIEVE_310061118_310061118
CAMBRIDGE-BELIEVE_310062510_310062510	CAMBRIDGE-BELIEVE_310062510_310062510
CAMBRIDGE-BELIEVE_310064795_310064795	CAMBRIDGE-BELIEVE_310064795_310064795
CAMBRIDGE-BELIEVE_310064815_310064815	CAMBRIDGE-BELIEVE_310064815_310064815
CAMBRIDGE-BELIEVE_310083207_310083207	CAMBRIDGE-BELIEVE_310083207_310083207
CAMBRIDGE-BELIEVE_310083703_310083703	CAMBRIDGE-BELIEVE_310083703_310083703
CAMBRIDGE-BELIEVE_310084093_310084093	CAMBRIDGE-BELIEVE_310084093_310084093
CAMBRIDGE-BELIEVE_310084288_310084288	CAMBRIDGE-BELIEVE_310084288_310084288
CAMBRIDGE-BELIEVE_310084785_310084785	CAMBRIDGE-BELIEVE_310084785_310084785
CAMBRIDGE-BELIEVE_310084935_310084935	CAMBRIDGE-BELIEVE_310084935_310084935
CAMBRIDGE-BELIEVE_310084980_310084980	CAMBRIDGE-BELIEVE_310084980_310084980
CAMBRIDGE-BELIEVE_310085028_310085028	CAMBRIDGE-BELIEVE_310085028_310085028
CAMBRIDGE-BELIEVE_310085311_310085311	CAMBRIDGE-BELIEVE_310085311_310085311
CAMBRIDGE-BELIEVE_310085954_310085954	CAMBRIDGE-BELIEVE_310085954_310085954
CAMBRIDGE-BELIEVE_310091910_310091910	CAMBRIDGE-BELIEVE_310091910_310091910
CAMBRIDGE-BELIEVE_310092204_310092204	CAMBRIDGE-BELIEVE_310092204_310092204
CAMBRIDGE-BELIEVE_310094296_310094296	CAMBRIDGE-BELIEVE_310094296_310094296
CAMBRIDGE-BELIEVE_310179740_310179740	CAMBRIDGE-BELIEVE_310179740_310179740
CAMBRIDGE-BELIEVE_310180497_310180497	CAMBRIDGE-BELIEVE_310180497_310180497
CAMBRIDGE-BELIEVE_310191570_310191570	CAMBRIDGE-BELIEVE_310191570_310191570
CAMBRIDGE-BELIEVE_310192796_310192796	CAMBRIDGE-BELIEVE_310192796_310192796
CAMBRIDGE-BELIEVE_310192800_310192800	CAMBRIDGE-BELIEVE_310192800_310192800
CAMBRIDGE-BELIEVE_310192838_310192838	CAMBRIDGE-BELIEVE_310192838_310192838
