FID	IID
CAMBRIDGE-BELIEVE_247818923_247818923	CAMBRIDGE-BELIEVE_247818923_247818923
CAMBRIDGE-BELIEVE_247818998_247818998	CAMBRIDGE-BELIEVE_247818998_247818998
CAMBRIDGE-BELIEVE_247819010_247819010	CAMBRIDGE-BELIEVE_247819010_247819010
CAMBRIDGE-BELIEVE_247819099_247819099	CAMBRIDGE-BELIEVE_247819099_247819099
CAMBRIDGE-BELIEVE_247819101_247819101	CAMBRIDGE-BELIEVE_247819101_247819101
CAMBRIDGE-BELIEVE_247819104_247819104	CAMBRIDGE-BELIEVE_247819104_247819104
CAMBRIDGE-BELIEVE_247819173_247819173	CAMBRIDGE-BELIEVE_247819173_247819173
CAMBRIDGE-BELIEVE_247819193_247819193	CAMBRIDGE-BELIEVE_247819193_247819193
CAMBRIDGE-BELIEVE_247819196_247819196	CAMBRIDGE-BELIEVE_247819196_247819196
CAMBRIDGE-BELIEVE_247819336_247819336	CAMBRIDGE-BELIEVE_247819336_247819336
CAMBRIDGE-BELIEVE_247819377_247819377	CAMBRIDGE-BELIEVE_247819377_247819377
CAMBRIDGE-BELIEVE_247819563_247819563	CAMBRIDGE-BELIEVE_247819563_247819563
CAMBRIDGE-BELIEVE_247819605_247819605	CAMBRIDGE-BELIEVE_247819605_247819605
CAMBRIDGE-BELIEVE_247819608_247819608	CAMBRIDGE-BELIEVE_247819608_247819608
CAMBRIDGE-BELIEVE_247819736_247819736	CAMBRIDGE-BELIEVE_247819736_247819736
CAMBRIDGE-BELIEVE_247819746_247819746	CAMBRIDGE-BELIEVE_247819746_247819746
CAMBRIDGE-BELIEVE_247819772_247819772	CAMBRIDGE-BELIEVE_247819772_247819772
CAMBRIDGE-BELIEVE_247819779_247819779	CAMBRIDGE-BELIEVE_247819779_247819779
CAMBRIDGE-BELIEVE_247819798_247819798	CAMBRIDGE-BELIEVE_247819798_247819798
CAMBRIDGE-BELIEVE_247819812_247819812	CAMBRIDGE-BELIEVE_247819812_247819812
CAMBRIDGE-BELIEVE_247819850_247819850	CAMBRIDGE-BELIEVE_247819850_247819850
CAMBRIDGE-BELIEVE_247819903_247819903	CAMBRIDGE-BELIEVE_247819903_247819903
CAMBRIDGE-BELIEVE_247819916_247819916	CAMBRIDGE-BELIEVE_247819916_247819916
CAMBRIDGE-BELIEVE_247820040_247820040	CAMBRIDGE-BELIEVE_247820040_247820040
CAMBRIDGE-BELIEVE_247820093_247820093	CAMBRIDGE-BELIEVE_247820093_247820093
CAMBRIDGE-BELIEVE_247820113_247820113	CAMBRIDGE-BELIEVE_247820113_247820113
CAMBRIDGE-BELIEVE_247820176_247820176	CAMBRIDGE-BELIEVE_247820176_247820176
CAMBRIDGE-BELIEVE_247820217_247820217	CAMBRIDGE-BELIEVE_247820217_247820217
CAMBRIDGE-BELIEVE_247820228_247820228	CAMBRIDGE-BELIEVE_247820228_247820228
CAMBRIDGE-BELIEVE_247820241_247820241	CAMBRIDGE-BELIEVE_247820241_247820241
CAMBRIDGE-BELIEVE_247820248_247820248	CAMBRIDGE-BELIEVE_247820248_247820248
CAMBRIDGE-BELIEVE_247820251_247820251	CAMBRIDGE-BELIEVE_247820251_247820251
CAMBRIDGE-BELIEVE_247820270_247820270	CAMBRIDGE-BELIEVE_247820270_247820270
CAMBRIDGE-BELIEVE_247820278_247820278	CAMBRIDGE-BELIEVE_247820278_247820278
CAMBRIDGE-BELIEVE_247825854_247825854	CAMBRIDGE-BELIEVE_247825854_247825854
CAMBRIDGE-BELIEVE_247825962_247825962	CAMBRIDGE-BELIEVE_247825962_247825962
CAMBRIDGE-BELIEVE_247825978_247825978	CAMBRIDGE-BELIEVE_247825978_247825978
CAMBRIDGE-BELIEVE_247826015_247826015	CAMBRIDGE-BELIEVE_247826015_247826015
CAMBRIDGE-BELIEVE_247826034_247826034	CAMBRIDGE-BELIEVE_247826034_247826034
CAMBRIDGE-BELIEVE_247826035_247826035	CAMBRIDGE-BELIEVE_247826035_247826035
CAMBRIDGE-BELIEVE_247826041_247826041	CAMBRIDGE-BELIEVE_247826041_247826041
CAMBRIDGE-BELIEVE_247826081_247826081	CAMBRIDGE-BELIEVE_247826081_247826081
CAMBRIDGE-BELIEVE_247826082_247826082	CAMBRIDGE-BELIEVE_247826082_247826082
CAMBRIDGE-BELIEVE_247826094_247826094	CAMBRIDGE-BELIEVE_247826094_247826094
CAMBRIDGE-BELIEVE_247826130_247826130	CAMBRIDGE-BELIEVE_247826130_247826130
CAMBRIDGE-BELIEVE_247826155_247826155	CAMBRIDGE-BELIEVE_247826155_247826155
CAMBRIDGE-BELIEVE_247826218_247826218	CAMBRIDGE-BELIEVE_247826218_247826218
CAMBRIDGE-BELIEVE_247826224_247826224	CAMBRIDGE-BELIEVE_247826224_247826224
CAMBRIDGE-BELIEVE_247826287_247826287	CAMBRIDGE-BELIEVE_247826287_247826287
CAMBRIDGE-BELIEVE_247826301_247826301	CAMBRIDGE-BELIEVE_247826301_247826301
CAMBRIDGE-BELIEVE_247826304_247826304	CAMBRIDGE-BELIEVE_247826304_247826304
CAMBRIDGE-BELIEVE_247826406_247826406	CAMBRIDGE-BELIEVE_247826406_247826406
CAMBRIDGE-BELIEVE_247826447_247826447	CAMBRIDGE-BELIEVE_247826447_247826447
CAMBRIDGE-BELIEVE_247826527_247826527	CAMBRIDGE-BELIEVE_247826527_247826527
CAMBRIDGE-BELIEVE_247826544_247826544	CAMBRIDGE-BELIEVE_247826544_247826544
CAMBRIDGE-BELIEVE_247826549_247826549	CAMBRIDGE-BELIEVE_247826549_247826549
CAMBRIDGE-BELIEVE_247826582_247826582	CAMBRIDGE-BELIEVE_247826582_247826582
CAMBRIDGE-BELIEVE_247826583_247826583	CAMBRIDGE-BELIEVE_247826583_247826583
CAMBRIDGE-BELIEVE_247826596_247826596	CAMBRIDGE-BELIEVE_247826596_247826596
CAMBRIDGE-BELIEVE_247826597_247826597	CAMBRIDGE-BELIEVE_247826597_247826597
CAMBRIDGE-BELIEVE_247826631_247826631	CAMBRIDGE-BELIEVE_247826631_247826631
CAMBRIDGE-BELIEVE_247826633_247826633	CAMBRIDGE-BELIEVE_247826633_247826633
CAMBRIDGE-BELIEVE_247826646_247826646	CAMBRIDGE-BELIEVE_247826646_247826646
CAMBRIDGE-BELIEVE_247826650_247826650	CAMBRIDGE-BELIEVE_247826650_247826650
CAMBRIDGE-BELIEVE_247826652_247826652	CAMBRIDGE-BELIEVE_247826652_247826652
CAMBRIDGE-BELIEVE_247826666_247826666	CAMBRIDGE-BELIEVE_247826666_247826666
CAMBRIDGE-BELIEVE_247826672_247826672	CAMBRIDGE-BELIEVE_247826672_247826672
CAMBRIDGE-BELIEVE_247826711_247826711	CAMBRIDGE-BELIEVE_247826711_247826711
CAMBRIDGE-BELIEVE_247826751_247826751	CAMBRIDGE-BELIEVE_247826751_247826751
CAMBRIDGE-BELIEVE_247826765_247826765	CAMBRIDGE-BELIEVE_247826765_247826765
CAMBRIDGE-BELIEVE_247826776_247826776	CAMBRIDGE-BELIEVE_247826776_247826776
CAMBRIDGE-BELIEVE_247826781_247826781	CAMBRIDGE-BELIEVE_247826781_247826781
CAMBRIDGE-BELIEVE_247826787_247826787	CAMBRIDGE-BELIEVE_247826787_247826787
CAMBRIDGE-BELIEVE_247826802_247826802	CAMBRIDGE-BELIEVE_247826802_247826802
CAMBRIDGE-BELIEVE_247826903_247826903	CAMBRIDGE-BELIEVE_247826903_247826903
CAMBRIDGE-BELIEVE_247826906_247826906	CAMBRIDGE-BELIEVE_247826906_247826906
CAMBRIDGE-BELIEVE_247826911_247826911	CAMBRIDGE-BELIEVE_247826911_247826911
CAMBRIDGE-BELIEVE_247826950_247826950	CAMBRIDGE-BELIEVE_247826950_247826950
CAMBRIDGE-BELIEVE_247826962_247826962	CAMBRIDGE-BELIEVE_247826962_247826962
CAMBRIDGE-BELIEVE_247826970_247826970	CAMBRIDGE-BELIEVE_247826970_247826970
CAMBRIDGE-BELIEVE_247826971_247826971	CAMBRIDGE-BELIEVE_247826971_247826971
CAMBRIDGE-BELIEVE_247826981_247826981	CAMBRIDGE-BELIEVE_247826981_247826981
CAMBRIDGE-BELIEVE_247827006_247827006	CAMBRIDGE-BELIEVE_247827006_247827006
CAMBRIDGE-BELIEVE_247827021_247827021	CAMBRIDGE-BELIEVE_247827021_247827021
CAMBRIDGE-BELIEVE_247827025_247827025	CAMBRIDGE-BELIEVE_247827025_247827025
CAMBRIDGE-BELIEVE_247827033_247827033	CAMBRIDGE-BELIEVE_247827033_247827033
CAMBRIDGE-BELIEVE_247827047_247827047	CAMBRIDGE-BELIEVE_247827047_247827047
CAMBRIDGE-BELIEVE_247827058_247827058	CAMBRIDGE-BELIEVE_247827058_247827058
CAMBRIDGE-BELIEVE_247827121_247827121	CAMBRIDGE-BELIEVE_247827121_247827121
CAMBRIDGE-BELIEVE_247827124_247827124	CAMBRIDGE-BELIEVE_247827124_247827124
CAMBRIDGE-BELIEVE_247827143_247827143	CAMBRIDGE-BELIEVE_247827143_247827143
CAMBRIDGE-BELIEVE_247827197_247827197	CAMBRIDGE-BELIEVE_247827197_247827197
CAMBRIDGE-BELIEVE_247827204_247827204	CAMBRIDGE-BELIEVE_247827204_247827204
CAMBRIDGE-BELIEVE_247827217_247827217	CAMBRIDGE-BELIEVE_247827217_247827217
CAMBRIDGE-BELIEVE_247827237_247827237	CAMBRIDGE-BELIEVE_247827237_247827237
CAMBRIDGE-BELIEVE_247827343_247827343	CAMBRIDGE-BELIEVE_247827343_247827343
CAMBRIDGE-BELIEVE_247827360_247827360	CAMBRIDGE-BELIEVE_247827360_247827360
CAMBRIDGE-BELIEVE_247827581_247827581	CAMBRIDGE-BELIEVE_247827581_247827581
CAMBRIDGE-BELIEVE_247827592_247827592	CAMBRIDGE-BELIEVE_247827592_247827592
CAMBRIDGE-BELIEVE_247827652_247827652	CAMBRIDGE-BELIEVE_247827652_247827652
CAMBRIDGE-BELIEVE_247827955_247827955	CAMBRIDGE-BELIEVE_247827955_247827955
CAMBRIDGE-BELIEVE_247827981_247827981	CAMBRIDGE-BELIEVE_247827981_247827981
CAMBRIDGE-BELIEVE_247827998_247827998	CAMBRIDGE-BELIEVE_247827998_247827998
CAMBRIDGE-BELIEVE_247828019_247828019	CAMBRIDGE-BELIEVE_247828019_247828019
CAMBRIDGE-BELIEVE_247828082_247828082	CAMBRIDGE-BELIEVE_247828082_247828082
CAMBRIDGE-BELIEVE_247828099_247828099	CAMBRIDGE-BELIEVE_247828099_247828099
CAMBRIDGE-BELIEVE_247828130_247828130	CAMBRIDGE-BELIEVE_247828130_247828130
CAMBRIDGE-BELIEVE_247828140_247828140	CAMBRIDGE-BELIEVE_247828140_247828140
CAMBRIDGE-BELIEVE_247831117_247831117	CAMBRIDGE-BELIEVE_247831117_247831117
CAMBRIDGE-BELIEVE_247831171_247831171	CAMBRIDGE-BELIEVE_247831171_247831171
CAMBRIDGE-BELIEVE_247831174_247831174	CAMBRIDGE-BELIEVE_247831174_247831174
CAMBRIDGE-BELIEVE_247831192_247831192	CAMBRIDGE-BELIEVE_247831192_247831192
CAMBRIDGE-BELIEVE_247831245_247831245	CAMBRIDGE-BELIEVE_247831245_247831245
CAMBRIDGE-BELIEVE_247831377_247831377	CAMBRIDGE-BELIEVE_247831377_247831377
CAMBRIDGE-BELIEVE_247831400_247831400	CAMBRIDGE-BELIEVE_247831400_247831400
CAMBRIDGE-BELIEVE_247831412_247831412	CAMBRIDGE-BELIEVE_247831412_247831412
CAMBRIDGE-BELIEVE_247838727_247838727	CAMBRIDGE-BELIEVE_247838727_247838727
CAMBRIDGE-BELIEVE_247838800_247838800	CAMBRIDGE-BELIEVE_247838800_247838800
CAMBRIDGE-BELIEVE_247838913_247838913	CAMBRIDGE-BELIEVE_247838913_247838913
CAMBRIDGE-BELIEVE_247838935_247838935	CAMBRIDGE-BELIEVE_247838935_247838935
CAMBRIDGE-BELIEVE_247839569_247839569	CAMBRIDGE-BELIEVE_247839569_247839569
CAMBRIDGE-BELIEVE_247839587_247839587	CAMBRIDGE-BELIEVE_247839587_247839587
CAMBRIDGE-BELIEVE_247839590_247839590	CAMBRIDGE-BELIEVE_247839590_247839590
CAMBRIDGE-BELIEVE_247839611_247839611	CAMBRIDGE-BELIEVE_247839611_247839611
CAMBRIDGE-BELIEVE_247839637_247839637	CAMBRIDGE-BELIEVE_247839637_247839637
CAMBRIDGE-BELIEVE_247849567_247849567	CAMBRIDGE-BELIEVE_247849567_247849567
CAMBRIDGE-BELIEVE_247849574_247849574	CAMBRIDGE-BELIEVE_247849574_247849574
CAMBRIDGE-BELIEVE_247849597_247849597	CAMBRIDGE-BELIEVE_247849597_247849597
CAMBRIDGE-BELIEVE_247849802_247849802	CAMBRIDGE-BELIEVE_247849802_247849802
CAMBRIDGE-BELIEVE_247849816_247849816	CAMBRIDGE-BELIEVE_247849816_247849816
CAMBRIDGE-BELIEVE_247849836_247849836	CAMBRIDGE-BELIEVE_247849836_247849836
CAMBRIDGE-BELIEVE_247850140_247850140	CAMBRIDGE-BELIEVE_247850140_247850140
CAMBRIDGE-BELIEVE_247850176_247850176	CAMBRIDGE-BELIEVE_247850176_247850176
CAMBRIDGE-BELIEVE_247850200_247850200	CAMBRIDGE-BELIEVE_247850200_247850200
CAMBRIDGE-BELIEVE_247850213_247850213	CAMBRIDGE-BELIEVE_247850213_247850213
CAMBRIDGE-BELIEVE_247850223_247850223	CAMBRIDGE-BELIEVE_247850223_247850223
CAMBRIDGE-BELIEVE_247850264_247850264	CAMBRIDGE-BELIEVE_247850264_247850264
CAMBRIDGE-BELIEVE_247850288_247850288	CAMBRIDGE-BELIEVE_247850288_247850288
CAMBRIDGE-BELIEVE_247850306_247850306	CAMBRIDGE-BELIEVE_247850306_247850306
CAMBRIDGE-BELIEVE_247850316_247850316	CAMBRIDGE-BELIEVE_247850316_247850316
CAMBRIDGE-BELIEVE_247850366_247850366	CAMBRIDGE-BELIEVE_247850366_247850366
CAMBRIDGE-BELIEVE_247850393_247850393	CAMBRIDGE-BELIEVE_247850393_247850393
CAMBRIDGE-BELIEVE_247850409_247850409	CAMBRIDGE-BELIEVE_247850409_247850409
CAMBRIDGE-BELIEVE_247850435_247850435	CAMBRIDGE-BELIEVE_247850435_247850435
CAMBRIDGE-BELIEVE_247850457_247850457	CAMBRIDGE-BELIEVE_247850457_247850457
CAMBRIDGE-BELIEVE_247850705_247850705	CAMBRIDGE-BELIEVE_247850705_247850705
CAMBRIDGE-BELIEVE_247850710_247850710	CAMBRIDGE-BELIEVE_247850710_247850710
CAMBRIDGE-BELIEVE_247850762_247850762	CAMBRIDGE-BELIEVE_247850762_247850762
CAMBRIDGE-BELIEVE_247850904_247850904	CAMBRIDGE-BELIEVE_247850904_247850904
CAMBRIDGE-BELIEVE_247850925_247850925	CAMBRIDGE-BELIEVE_247850925_247850925
CAMBRIDGE-BELIEVE_247850935_247850935	CAMBRIDGE-BELIEVE_247850935_247850935
CAMBRIDGE-BELIEVE_247850945_247850945	CAMBRIDGE-BELIEVE_247850945_247850945
CAMBRIDGE-BELIEVE_247850955_247850955	CAMBRIDGE-BELIEVE_247850955_247850955
CAMBRIDGE-BELIEVE_247851004_247851004	CAMBRIDGE-BELIEVE_247851004_247851004
CAMBRIDGE-BELIEVE_247851024_247851024	CAMBRIDGE-BELIEVE_247851024_247851024
CAMBRIDGE-BELIEVE_247851048_247851048	CAMBRIDGE-BELIEVE_247851048_247851048
CAMBRIDGE-BELIEVE_247851055_247851055	CAMBRIDGE-BELIEVE_247851055_247851055
CAMBRIDGE-BELIEVE_247851084_247851084	CAMBRIDGE-BELIEVE_247851084_247851084
CAMBRIDGE-BELIEVE_247851117_247851117	CAMBRIDGE-BELIEVE_247851117_247851117
CAMBRIDGE-BELIEVE_247851184_247851184	CAMBRIDGE-BELIEVE_247851184_247851184
CAMBRIDGE-BELIEVE_247851416_247851416	CAMBRIDGE-BELIEVE_247851416_247851416
CAMBRIDGE-BELIEVE_247851542_247851542	CAMBRIDGE-BELIEVE_247851542_247851542
CAMBRIDGE-BELIEVE_247851567_247851567	CAMBRIDGE-BELIEVE_247851567_247851567
CAMBRIDGE-BELIEVE_247851573_247851573	CAMBRIDGE-BELIEVE_247851573_247851573
CAMBRIDGE-BELIEVE_247851627_247851627	CAMBRIDGE-BELIEVE_247851627_247851627
CAMBRIDGE-BELIEVE_247851784_247851784	CAMBRIDGE-BELIEVE_247851784_247851784
CAMBRIDGE-BELIEVE_247851794_247851794	CAMBRIDGE-BELIEVE_247851794_247851794
CAMBRIDGE-BELIEVE_247851803_247851803	CAMBRIDGE-BELIEVE_247851803_247851803
CAMBRIDGE-BELIEVE_247851808_247851808	CAMBRIDGE-BELIEVE_247851808_247851808
